Sample Time,T1,T2,
15:11:52:807,36,9,
15:11:52:907,29,6,
15:11:53:30,50,14,
15:11:53:145,33,6,
15:11:53:239,41,6,
15:11:53:352,35,8,
15:11:53:467,33,8,
15:11:53:579,33,9,
15:11:53:675,31,7,
15:11:53:771,32,9,
