Sample Time,T1,T2,
15:11:51:974,24,15,
15:11:52:55,14,7,
15:11:52:125,16,9,
15:11:52:223,40,18,
15:11:52:320,19,10,
15:11:52:398,15,6,
15:11:52:461,15,7,
15:11:52:568,15,8,
15:11:52:639,15,8,
15:11:52:702,13,6,
