Sample Time,T1,T2,
15:11:52:18,22,8,
15:11:52:82,23,7,
15:11:52:160,41,16,
15:11:52:281,22,6,
15:11:52:362,22,8,
15:11:52:429,19,6,
15:11:52:521,31,9,
15:11:52:598,25,9,
15:11:52:667,19,6,
15:11:52:728,20,5,
