Sample Time,T1,T2,
15:11:52:768,39,7,
15:11:52:877,30,6,
15:11:52:979,51,14,
15:11:53:118,27,6,
15:11:53:207,32,7,
15:11:53:322,30,7,
15:11:53:430,37,7,
15:11:53:541,38,6,
15:11:53:645,30,5,
15:11:53:734,36,5,
