Sample Time,T1,T2,
15:11:52:843,21,6,
15:11:52:936,18,5,
15:11:53:80,23,7,
15:11:53:178,16,5,
15:11:53:280,27,9,
15:11:53:387,27,8,
15:11:53:500,25,9,
15:11:53:612,20,7,
15:11:53:706,18,5,
15:11:53:803,22,5,
