Sample Time,T1,T2,
15:11:51:999,18,12,
15:11:52:69,13,7,
15:11:52:141,19,9,
15:11:52:264,17,7,
15:11:52:340,22,12,
15:11:52:413,16,9,
15:11:52:476,45,27,
15:11:52:583,15,6,
15:11:52:654,13,7,
15:11:52:715,13,7,
