Sample Time,T1,T2,
15:11:50:397,57,17,
15:11:50:645,80,27,
15:11:50:864,52,12,
15:11:51:29,47,12,
15:11:51:161,33,9,
15:11:51:283,33,10,
15:11:51:386,31,8,
15:11:51:505,32,9,
15:11:51:617,55,9,
15:11:51:845,77,26,
