Sample Time,T1,T2,
15:11:50:454,87,19,
15:11:50:725,38,14,
15:11:50:917,54,15,
15:11:51:76,31,11,
15:11:51:194,33,8,
15:11:51:316,24,8,
15:11:51:418,30,8,
15:11:51:537,32,13,
15:11:51:672,29,9,
15:11:51:922,27,9,
