Sample Time,Cpu Load,
4,0.5147058823529411,
5,0.6144318541010143,
6,0.6194246142008293,
7,0.7146461973674082,
8,0.7150622462527179,
9,0.5376025069998704,
10,0.4778139410744206,
11,0.4876761577106335,
12,0.559720029179017,
13,0.6757917663235006,
