Sample Time,Cpu Load,
10:35:13:329,0.0,
10:35:13:337,0.48455459770114945,
10:35:13:341,0.23683225162256616,
10:35:13:345,0.22370848708487084,
10:35:13:348,0.44625706214689265,
10:35:13:352,0.306325232795821,
10:35:13:356,0.4629159616469261,
10:35:13:359,0.41131025957972805,
10:35:13:363,0.45692567567567566,
10:35:13:366,0.49748504622077216,
10:35:13:370,0.32879402077527237,
10:35:13:374,0.0416350291065553,
10:35:13:378,0.3423513182096873,
10:35:13:382,0.2722841225626741,
10:35:13:385,0.36587716882401544,
10:35:13:389,0.6218186310847541,
10:35:13:393,0.2308803301237964,
10:35:13:397,1.166981845688351,
10:35:13:401,0.14670771550640865,
10:35:13:405,0.6647954091816367,
10:35:13:409,1.6008276899924756,
10:35:13:413,0.5163170163170163,
10:35:13:417,1.1149621212121212,
10:35:13:421,0.6559133049361062,
10:35:13:425,0.8514456630109671,
10:35:13:429,0.5580402010050252,
10:35:13:433,0.8886039529647235,
10:35:13:436,0.8784711854284861,
10:35:13:441,0.611388426696247,
10:35:13:445,0.36453662182361735,
10:35:13:450,0.9144573322286661,
10:35:13:454,0.5633348957112726,
10:35:13:459,0.7771739130434783,
10:35:13:463,0.7135878061490359,
10:35:13:468,0.6430657622008668,
10:35:13:473,0.5606374172185431,
10:35:13:477,0.5771727172717271,
10:35:13:481,0.8092417061611374,
10:35:13:484,0.6760061919504644,
10:35:13:488,0.5785968028419183,
10:35:13:492,0.648819768871404,
10:35:13:496,0.4487866817155756,
10:35:13:500,0.47962079927338785,
10:35:13:504,0.13145315487571702,
10:35:13:510,0.575091415636427,
10:35:13:514,0.6190619001919386,
10:35:13:518,0.3636665780377559,
10:35:13:522,0.5170424047235641,
10:35:13:526,0.2780976220275344,
10:35:13:529,0.7884084001105278,
10:35:13:535,0.41788156947444205,
10:35:13:539,0.3345079613677891,
10:35:13:543,0.3458944628490298,
10:35:13:547,0.22211964549483013,
10:35:13:550,0.4826867816091954,
10:35:13:555,0.5747517271157168,
10:35:13:559,0.7167157781944816,
10:35:13:562,0.5816751815004033,
10:35:13:567,0.7632330331649462,
10:35:13:573,0.4278383579217447,
10:35:13:578,1.128712367778682,
10:35:13:582,0.7189530234882558,
10:35:13:585,0.7527546158427636,
10:35:13:590,0.49401825357671436,
10:35:13:594,0.2432849184241942,
10:35:13:599,0.352127412229714,
10:35:13:602,0.4560363412380659,
10:35:13:607,0.4572062552831784,
10:35:13:611,0.4859291606016497,
10:35:13:615,0.5403164072467466,
10:35:13:619,0.2773587164750958,
10:35:13:623,0.4058981233243968,
10:35:13:626,0.28390998162890385,
10:35:13:630,0.6118571066632885,
10:35:13:636,0.5224757364209093,
10:35:13:640,0.7208438287153652,
10:35:13:644,0.940450411433521,
10:35:13:649,0.3000542888165038,
10:35:13:653,0.4818396226415094,
10:35:13:658,1.0066431978196684,
10:35:13:662,1.061007462686567,
10:35:13:665,0.7877279102384291,
10:35:13:671,0.7530717036493674,
10:35:13:674,0.9301550598476604,
10:35:13:679,0.7906328249487822,
10:35:13:682,0.7349462365591398,
10:35:13:685,1.0721358927483242,
10:35:13:689,0.638984088127295,
10:35:13:693,0.6790208910143468,
10:35:13:697,0.797420431211499,
10:35:13:701,0.8145933014354066,
10:35:13:859,0.6977469522615928,
10:35:13:863,0.26424520658925194,
10:35:13:866,0.4106877046740101,
10:35:13:872,0.3693492300049677,
10:35:13:879,0.5904966571155683,
10:35:13:883,0.752961189516129,
10:35:13:886,0.5711166562694947,
10:35:13:890,0.3365984527077614,
10:35:13:894,0.7255376344086022,
10:35:13:897,0.9299259259259259,
10:35:13:900,0.7047997644287397,
10:35:13:905,0.6471328942270438,
10:35:13:910,0.6148589065255732,
10:35:13:916,0.8002658690594882,
10:35:13:920,1.0238544813695871,
10:35:13:924,0.7288802799300175,
10:35:13:928,0.6955039151300834,
10:35:13:932,1.0456887883358472,
10:35:13:935,0.8629441624365483,
10:35:13:939,0.4024718551150269,
10:35:13:943,0.41984247967479676,
10:35:13:947,1.1273953605648008,
10:35:13:951,0.7196620583717358,
10:35:13:954,0.4946775203506575,
10:35:13:958,1.5253891298800715,
10:35:13:963,0.4328188833408988,
10:35:13:967,0.6533986928104575,
10:35:13:970,1.2465138106731026,
10:35:13:974,0.4395429009193054,
10:35:13:978,0.5735557259713702,
10:35:13:981,1.1597434331093464,
10:35:13:985,0.9621965486984498,
10:35:13:988,0.6578033879477923,
10:35:13:992,0.9348852040816327,
10:35:13:996,0.7331284153005464,
10:35:14:0,0.6444556198139301,
10:35:14:4,0.7898263977533827,
10:35:14:8,0.8513063524590164,
10:35:14:12,0.8598738932116984,
10:35:14:15,0.7605421686746988,
10:35:14:18,0.5197482638888888,
10:35:14:22,0.8115560949298813,
