Sample Time,Cpu Load,
10:31:41:651,0.0,
10:31:41:659,0.5756545820745217,
10:31:41:663,0.2751494023904382,
10:31:41:667,0.04019391261659303,
10:31:41:672,0.2361814831874712,
10:31:41:675,0.39854111405835546,
10:31:41:679,0.47380653266331657,
10:31:41:683,0.6065561302099178,
10:31:41:687,0.6878099173553719,
10:31:41:691,0.40847740370033364,
10:31:41:694,0.46386962552011096,
10:31:41:698,0.36505644526122344,
10:31:41:701,0.4268916155419223,
10:31:41:705,0.631108202443281,
10:31:41:709,0.42743211178486684,
10:31:41:713,0.3542497507477567,
10:31:41:716,0.32472087031205266,
10:31:41:720,0.7223792031647358,
10:31:41:724,0.7530617345663584,
10:31:41:728,0.6409174795676246,
10:31:41:732,0.7280460345258944,
10:31:41:736,0.6905513723585135,
10:31:41:740,0.38397483345669875,
10:31:41:743,1.0241736175471114,
10:31:41:747,0.901555053925257,
10:31:41:751,0.81600054377379,
10:31:41:755,0.7381315054582381,
10:31:41:758,0.5856164383561644,
10:31:41:762,0.8589935226706528,
10:31:41:766,0.9113812985710704,
10:31:41:769,0.7067264573991031,
10:31:41:773,0.5630277442702051,
10:31:41:776,0.7154525977504017,
10:31:41:780,0.558969893008211,
10:31:41:784,0.7900825228411436,
10:31:41:789,0.07208121827411168,
10:31:41:793,0.27450980392156865,
10:31:41:797,0.5080385852090032,
10:31:41:801,0.471617904476119,
10:31:41:805,0.5606673407482305,
10:31:41:809,0.9397799652576723,
10:31:41:812,0.7923044217687075,
10:31:41:816,1.0025859658932066,
10:31:41:820,0.566486009579027,
10:31:41:824,0.8904274152756702,
10:31:41:828,0.6568527918781726,
10:31:41:831,0.751693851944793,
10:31:41:835,0.3795317220543807,
10:31:41:839,0.9455724390882893,
10:31:41:843,0.7441977800201817,
10:31:41:847,0.7973921765295887,
10:31:41:851,0.8423607203151379,
10:31:41:855,0.7030146316851665,
10:31:41:858,0.7180735930735931,
10:31:41:861,0.5103426983636925,
10:31:41:864,0.4224782999102065,
10:31:41:868,0.6295231248502277,
10:31:41:873,0.401714870744817,
10:31:41:876,0.7842573221757322,
10:31:41:880,0.6265721331689272,
10:31:41:885,0.693118823812967,
10:31:41:889,0.8636017272034544,
10:31:41:893,0.8468589743589744,
10:31:41:896,0.856687898089172,
10:31:41:900,0.9244527495995729,
10:31:41:904,0.7009467618002195,
10:31:41:907,0.7034138342277877,
10:31:41:911,0.7221882640586798,
10:31:41:915,0.6061786807681603,
10:31:41:919,0.4200947538710423,
10:31:41:924,0.2485240690281562,
10:31:41:927,0.21698246606334842,
10:31:41:931,0.0833091226031377,
