Sample Time,Cpu Load,
10:38:51:556,0.0,
10:38:51:564,0.4796796202907149,
10:38:51:568,0.07834704562453254,
10:38:51:572,0.4873807132094425,
10:38:51:576,0.440919452887538,
10:38:51:580,0.4701066260472201,
10:38:51:584,0.5851972857501885,
10:38:51:588,0.4569515306122449,
10:38:51:591,0.24298107255520504,
10:38:51:595,0.24879886438086918,
10:38:51:599,0.48220507715281236,
10:38:51:603,0.2715307364576993,
10:38:51:607,0.32248372558838256,
10:38:51:610,0.2841514726507714,
10:38:51:614,0.6415148063781321,
10:38:51:618,0.49355735219807984,
10:38:51:621,0.4149776453055142,
10:38:51:624,0.6059829059829059,
10:38:51:628,0.5283732660781841,
10:38:51:632,0.5454211916642208,
10:38:51:635,0.6650890868596881,
10:38:51:639,0.5588765395013517,
10:38:51:643,0.4350189633375474,
10:38:51:646,0.8537667248400233,
10:38:51:650,0.5974992557308723,
10:38:51:653,0.34196961475854587,
10:38:51:657,0.4026276276276276,
10:38:51:660,1.1024121013900245,
10:38:51:664,0.32765057242409157,
10:38:51:668,0.40152127086698974,
10:38:51:672,0.8096555192356047,
10:38:51:676,0.7290729635182409,
10:38:51:679,0.5877713458755427,
10:38:51:683,0.7832062072593372,
10:38:51:687,0.7139969681657403,
10:38:51:690,0.6663563004345128,
10:38:51:694,0.7112885760693015,
10:38:51:698,0.7380595148787197,
10:38:51:702,0.48985664051934,
10:38:51:706,0.30281336347651344,
10:38:51:709,0.21609669811320756,
10:38:51:713,0.5595302375809935,
10:38:51:717,0.7458217270194986,
10:38:51:720,0.8829358934654692,
10:38:51:724,0.8053444782168186,
10:38:51:728,0.741242439516129,
10:38:51:732,0.6605830164765526,
10:38:51:736,0.8617706491538267,
10:38:51:739,0.6682825484764543,
10:38:51:743,0.5876321087065929,
10:38:51:747,0.3783174762143215,
10:38:51:751,0.6615066432689897,
10:38:51:755,0.8529115200403328,
10:38:51:758,0.7222388955582233,
10:38:51:762,0.6261283851554664,
10:38:51:766,0.8319486404833837,
10:38:51:770,0.5653669724770642,
10:38:51:773,0.6459471112388617,
10:38:51:776,0.5191858768602277,
10:38:51:780,0.7981536926147704,
10:38:51:785,0.8939966910895769,
10:38:51:789,1.0658378245957865,
10:38:51:794,0.618474923234391,
10:38:51:799,1.0307151589242054,
10:38:51:803,1.0304676428908832,
10:38:51:809,0.5173787427770968,
10:38:51:813,0.44618736383442265,
10:38:51:819,0.7493988320164892,
10:38:51:823,0.7943253774963468,
10:38:51:827,0.8737698195735375,
10:38:51:832,1.0586729671195116,
10:38:51:835,0.4086728919071873,
10:38:51:840,0.9262663398692811,
10:38:51:843,0.6805339956535238,
10:38:51:848,0.7643429313704265,
10:38:51:852,0.5368270189431705,
10:38:51:856,0.454179138844117,
10:38:52:59,0.6056903639579813,
10:38:52:62,0.6413868613138686,
10:38:52:66,0.6650612959719789,
10:38:52:70,0.31640449438202245,
10:38:52:75,0.4718675611339537,
10:38:52:79,0.5710427135678392,
10:38:52:83,0.671095717884131,
10:38:52:86,1.5459989112683723,
10:38:52:93,0.687657331655129,
10:38:52:97,1.172,
10:38:52:103,0.6157414448669202,
10:38:52:107,1.3346531949754232,
10:38:52:112,0.6168280871670703,
10:38:52:116,0.7562774639045825,
10:38:52:120,0.489,
10:38:52:123,0.5565170362358032,
10:38:52:127,0.28751116403691573,
10:38:52:130,0.43851911253675485,
10:38:52:134,0.28553770086526575,
10:38:52:138,0.3402176601533515,
10:38:52:142,0.6394841764266135,
10:38:52:146,0.41429279167698785,
10:38:52:150,0.3136157337367625,
10:38:52:154,0.5154475238527941,
10:38:52:159,0.3918698302133217,
10:38:52:163,0.5888860950465175,
10:38:52:167,0.7515854895991883,
