Sample Time,Cpu Load,
10:36:14:395,0.0,
10:36:14:403,0.7310381925766541,
10:36:14:407,0.78,
10:36:14:411,0.395724907063197,
10:36:14:415,0.45597880928355194,
10:36:14:419,1.2627476882430648,
10:36:14:423,0.8684600197433366,
10:36:14:426,0.9497210804462712,
10:36:14:430,0.8773893360160966,
10:36:14:434,0.5040614846288428,
10:36:14:437,0.9821835803876853,
10:36:14:441,0.5189793866264455,
10:36:14:445,0.7288538538538538,
10:36:14:449,0.2865746549560853,
10:36:14:453,1.0834556664709336,
10:36:14:457,0.9622462787550744,
10:36:14:460,0.9551845342706503,
10:36:14:464,0.36420140632847814,
10:36:14:468,0.5130850528434826,
10:36:14:472,1.412218045112782,
10:36:14:476,0.708791895947974,
10:36:14:480,0.5980256539235412,
10:36:14:484,1.5133940900303784,
10:36:14:488,0.9142280524722503,
10:36:14:492,0.8269981775579276,
10:36:14:495,0.5590545755237045,
10:36:14:499,0.2900973610043556,
10:36:14:503,1.056400121617513,
10:36:14:506,1.5935246810870771,
10:36:14:510,0.7513917004048583,
10:36:14:514,0.6867780010045204,
10:36:14:518,0.3618718592964824,
10:36:14:522,1.0991813602015112,
10:36:14:526,1.1458952200918175,
10:36:14:530,0.6496345766129032,
10:36:14:533,0.7811001199040767,
10:36:14:537,1.1655002977963074,
10:36:14:540,0.5459675374080649,
10:36:14:544,0.8106925418569254,
10:36:14:548,0.8169031931069437,
10:36:14:552,0.9600930115635998,
10:36:14:556,0.7010400811770675,
10:36:14:560,0.6658821947283485,
10:36:14:564,0.6560136157337367,
10:36:14:567,0.5408298877731837,
10:36:14:571,0.1137888198757764,
10:36:14:575,0.5081377744133232,
10:36:14:579,0.7045043882292205,
10:36:14:583,0.5094399391789154,
10:36:14:587,0.5493850401606426,
10:36:14:591,0.7554101660795168,
10:36:14:595,0.663237139272271,
10:36:14:599,0.3482814851981937,
10:36:14:602,0.48297999402806807,
10:36:14:606,0.48906114169805853,
10:36:14:610,0.32763157894736844,
10:36:14:614,0.3460635359116022,
10:36:14:617,0.7053684477082806,
10:36:14:621,1.096680999731255,
10:36:14:625,0.7585193184545236,
10:36:14:629,0.6345190380761523,
10:36:14:633,0.7751393110435664,
10:36:14:637,0.3944402228976697,
10:36:14:641,1.4558945908460472,
10:36:14:645,0.6999406175771972,
10:36:14:649,0.29392712550607286,
10:36:14:652,0.17460433763188746,
10:36:14:656,0.3257037621678506,
10:36:14:659,0.5869172932330827,
10:36:14:663,0.5642775064636598,
10:36:14:666,0.3286662817551963,
10:36:14:670,0.6946659334616442,
10:36:14:673,0.4552227573750753,
10:36:14:677,0.5149602949517867,
10:36:14:681,0.5067022384174908,
10:36:14:684,0.48083376355188434,
10:36:14:688,0.3041497975708502,
10:36:14:692,0.4983697015299724,
10:36:14:696,0.3323791348600509,
10:36:14:700,0.5484913793103449,
10:36:14:704,0.7679434970730465,
10:36:14:864,0.7948904286376565,
10:36:14:867,0.7662895310796074,
10:36:14:872,0.27374375550984426,
10:36:14:891,0.4279003267973856,
10:36:14:894,0.7745069178687077,
10:36:14:898,0.35,
10:36:14:902,0.3851941189983919,
