Sample Time,Memory Usage,
10:47:4:828,28691280,
10:47:4:832,28691280,
10:47:4:836,28691280,
10:47:4:840,28691280,
10:47:4:844,29361072,
10:47:4:847,29361072,
10:47:4:851,29361072,
10:47:4:856,29361072,
10:47:4:860,29361072,
10:47:4:863,29361072,
10:47:4:871,29361072,
10:47:4:874,29361072,
10:47:4:880,29361072,
10:47:4:884,29361072,
10:47:4:889,29361072,
10:47:4:893,30030960,
10:47:4:897,30030960,
10:47:4:900,30030960,
10:47:4:905,30030960,
10:47:4:909,30700760,
10:47:4:913,30700760,
10:47:4:917,30700760,
10:47:4:921,31370792,
10:47:4:926,31370792,
10:47:4:930,31370792,
10:47:4:935,31370792,
10:47:4:938,31370792,
10:47:4:944,31370792,
10:47:4:948,31370792,
10:47:4:952,32040728,
10:47:4:955,32040728,
10:47:4:959,32040728,
10:47:4:963,32040728,
10:47:4:966,32040728,
10:47:4:972,32710520,
10:47:4:976,32710520,
10:47:4:980,32710520,
10:47:4:984,33380360,
10:47:4:988,33380360,
10:47:4:991,33380360,
10:47:4:994,33380360,
10:47:4:997,33380360,
10:47:5:1,33380360,
10:47:5:4,33380360,
10:47:5:8,33380360,
10:47:5:12,33380360,
10:47:5:16,33380360,
10:47:5:20,33380360,
10:47:5:24,34050336,
10:47:5:28,34050336,
10:47:5:32,34050336,
10:47:5:40,34050336,
10:47:5:44,34050336,
10:47:5:47,34050336,
10:47:5:52,34050336,
10:47:5:55,34050336,
10:47:5:59,34050336,
10:47:5:63,34050336,
10:47:5:66,34050336,
10:47:5:71,34728304,
10:47:5:75,34728304,
10:47:5:78,34728304,
10:47:5:82,34728304,
10:47:5:87,34728304,
10:47:5:91,35398120,
10:47:5:95,35398120,
10:47:5:98,35398120,
10:47:5:102,35398120,
10:47:5:105,36076136,
10:47:5:109,36076136,
10:47:5:113,36076136,
10:47:5:116,36076136,
10:47:5:120,36076136,
10:47:5:123,36076136,
10:47:5:127,36076136,
10:47:5:130,36076136,
10:47:5:134,36076136,
10:47:5:137,36762296,
10:47:5:141,36762296,
10:47:5:145,36762296,
10:47:5:149,36762296,
10:47:5:152,36762296,
10:47:5:155,37432112,
10:47:5:159,37432112,
10:47:5:163,37432112,
10:47:5:166,37432112,
10:47:5:169,37432112,
10:47:5:173,38101936,
10:47:5:176,38101936,
10:47:5:180,38101936,
10:47:5:184,38101936,
10:47:5:188,38101936,
10:47:5:191,38101936,
10:47:5:195,38101936,
10:47:5:199,38788096,
10:47:5:202,38788096,
10:47:5:206,38788096,
10:47:5:209,38788096,
10:47:5:213,38788096,
