Sample Time,Memory Usage,
10:43:34:987,37320712,
10:43:34:991,37320712,
10:43:34:995,37320712,
10:43:34:999,37320712,
10:43:35:3,37320712,
10:43:35:6,37320712,
10:43:35:10,37320712,
10:43:35:13,37320712,
10:43:35:17,37320712,
10:43:35:21,37320712,
10:43:35:27,37320712,
10:43:35:31,37320712,
10:43:35:35,37320712,
10:43:35:39,37320712,
10:43:35:43,37320712,
10:43:35:47,39977712,
10:43:35:51,39977712,
10:43:35:54,39977712,
10:43:35:58,39977712,
10:43:35:62,39977712,
10:43:35:66,39977712,
10:43:35:69,39977712,
10:43:35:73,39977712,
10:43:35:77,39977712,
10:43:35:80,39977712,
10:43:35:83,39977712,
10:43:35:87,39977712,
10:43:35:91,39977712,
10:43:35:95,39977712,
10:43:35:98,39977712,
10:43:35:102,39977712,
10:43:35:106,39977712,
10:43:35:109,39977712,
10:43:35:112,39977712,
10:43:35:116,39977712,
10:43:35:120,39977712,
10:43:35:124,39977712,
10:43:35:127,39977712,
10:43:35:131,39977712,
10:43:35:135,39977712,
10:43:35:138,39977712,
10:43:35:142,39977712,
10:43:35:145,39977712,
10:43:35:149,39977712,
10:43:35:152,39977712,
10:43:35:156,42634688,
10:43:35:160,42634688,
10:43:35:163,42634688,
10:43:35:166,42634688,
10:43:35:170,42634688,
10:43:35:174,42634688,
10:43:35:178,42634688,
10:43:35:182,42634688,
10:43:35:185,42634688,
10:43:35:189,42634688,
10:43:35:193,42634688,
10:43:35:197,42634688,
10:43:35:201,42634688,
10:43:35:204,42634688,
10:43:35:208,42634688,
10:43:35:212,42634688,
10:43:35:216,42634688,
10:43:35:219,42634688,
10:43:35:223,42634688,
10:43:35:227,42634688,
10:43:35:230,42634688,
10:43:35:234,42634688,
10:43:35:238,42634688,
10:43:35:241,42634688,
10:43:35:245,42634688,
10:43:35:248,42634688,
10:43:35:252,42634688,
10:43:35:256,42634688,
10:43:35:259,42634688,
10:43:35:263,42634688,
10:43:35:267,42634688,
10:43:35:270,42634688,
10:43:35:274,42634688,
10:43:35:278,42634688,
10:43:35:282,42634688,
10:43:35:286,42634688,
10:43:35:289,42634688,
10:43:35:292,42634688,
10:43:35:296,45291664,
10:43:35:300,45291664,
10:43:35:304,45291664,
10:43:35:308,45291664,
10:43:35:312,45291664,
10:43:35:315,45291664,
10:43:35:319,45291664,
10:43:35:323,45291664,
10:43:35:326,45291664,
10:43:35:330,45291664,
10:43:35:334,45291664,
10:43:35:337,45291664,
10:43:35:341,45291664,
10:43:35:345,45291664,
10:43:35:348,45291664,
10:43:35:352,45291664,
10:43:35:355,45291664,
10:43:35:359,45291664,
10:43:35:363,45291664,
10:43:35:366,45291664,
10:43:35:370,45291664,
10:43:35:373,45291664,
10:43:35:376,45291664,
10:43:35:380,45291664,
10:43:35:384,45291664,
10:43:35:388,47949032,
10:43:35:392,47949032,
10:43:35:396,47949032,
10:43:35:399,47949032,
10:43:35:403,
